"","Gene","Ensembl","Gene.description","Uniprot","Secretome.location"
"1","CFH","ENSG00000000971","Complement factor H","P08603","Secreted to blood"
"2","FUCA2","ENSG00000001036","Alpha-L-fucosidase 2","Q9BTY2","Secreted to blood"
"3","SEMA3F","ENSG00000001617","Semaphorin 3F","Q13275","Secreted to blood"
"4","HS3ST1","ENSG00000002587","Heparan sulfate-glucosamine 3-sulfotransferase 1","O14792","Intracellular and membrane"
"5","AOC1","ENSG00000002726","Amine oxidase copper containing 1","P19801","Secreted in other tissues"
"6","WNT16","ENSG00000002745","Wnt family member 16","Q9UBV4","Secreted to extracellular matrix"
"7","CYP26B1","ENSG00000003137","Cytochrome P450 family 26 subfamily B member 1","Q9NR63","Intracellular and membrane"
"8","TFPI","ENSG00000003436","Tissue factor pathway inhibitor","P10646","Secreted to blood"
"9","SARM1","ENSG00000004139","Sterile alpha and TIR motif containing 1","Q6SZW1","Intracellular and membrane"
"10","KDM1A","ENSG00000004487","Lysine demethylase 1A","O60341","Intracellular and membrane"
"11","HSPB6","ENSG00000004776","Heat shock protein family B (small) member 6","O14558","Intracellular and membrane"
"12","HCCS","ENSG00000004961","Holocytochrome c synthase","P53701","Intracellular and membrane"
"13","PRSS22","ENSG00000005001","Serine protease 22","Q9GZN4","Secreted in other tissues"
"14","THSD7A","ENSG00000005108","Thrombospondin type 1 domain containing 7A","Q9UPZ6","Secreted to blood"
"15","MPO","ENSG00000005381","Myeloperoxidase","P05164","Intracellular and membrane"
"16","PON1","ENSG00000005421","Paraoxonase 1","P27169","Secreted to blood"
"17","MYCBP2","ENSG00000005810","MYC binding protein 2","O75592","Intracellular and membrane"
"18","CRLF1","ENSG00000006016","Cytokine receptor like factor 1","O75462","Secreted in other tissues"
"19","TMEM98","ENSG00000006042","Transmembrane protein 98","Q9Y2Y6","Intracellular and membrane"
"20","TAC1","ENSG00000006128","Tachykinin precursor 1","P20366","Secreted to blood"
"21","CX3CL1","ENSG00000006210","C-X3-C motif chemokine ligand 1","P78423","Secreted to blood"
"22","SPATA20","ENSG00000006282","Spermatogenesis associated 20","Q8TB22","Secreted in male reproductive system"
"23","MAP3K9","ENSG00000006432","Mitogen-activated protein kinase kinase kinase 9","P80192","Intracellular and membrane"
"24","AGK","ENSG00000006530","Acylglycerol kinase","Q53H12","Intracellular and membrane"
"25","CCL26","ENSG00000006606","C-C motif chemokine ligand 26","Q9Y258","Secreted to blood"
"26","PNPLA4","ENSG00000006757","Patatin like phospholipase domain containing 4","P41247","Intracellular and membrane"
"27","PRSS21","ENSG00000007038","Serine protease 21","Q9Y6M0","Intracellular and membrane"
"28","BLTP2","ENSG00000007202","Bridge-like lipid transfer protein family member 2","Q14667","Intracellular and membrane"
"29","CEACAM7","ENSG00000007306","CEA cell adhesion molecule 7","Q14002","Intracellular and membrane"
"30","PGLYRP1","ENSG00000008438","Peptidoglycan recognition protein 1","O75594","Secreted to blood"
"31","ST3GAL1","ENSG00000008513","ST3 beta-galactoside alpha-2,3-sialyltransferase 1","Q11201","Intracellular and membrane"
"32","MMP25","ENSG00000008516","Matrix metallopeptidase 25","Q9NPA2","Secreted to blood"
"33","IL32","ENSG00000008517","Interleukin 32","P24001","Secreted to blood"
"34","MASP2","ENSG00000009724","MBL associated serine protease 2","O00187","Secreted to blood"
"35","MLXIPL","ENSG00000009950","MLX interacting protein like","Q9NP71","Intracellular and membrane"
"36","CD9","ENSG00000010278","CD9 molecule","P21926","Intracellular and membrane"
"37","SEMA3G","ENSG00000010319","Semaphorin 3G","Q9NS98","Secreted to blood"
"38","IDS","ENSG00000010404","Iduronate 2-sulfatase","P22304","Intracellular and membrane"
"39","PRSS3","ENSG00000010438","Serine protease 3","P35030","Secreted to digestive system"
"40","ANOS1","ENSG00000011201","Anosmin 1","P23352","Secreted in brain"
"41","TTC19","ENSG00000011295","Tetratricopeptide repeat domain 19","Q6DKK2","Intracellular and membrane"
"42","PLAUR","ENSG00000011422","Plasminogen activator, urokinase receptor","Q03405","Intracellular and membrane"
"43","DCN","ENSG00000011465","Decorin","P07585","Secreted to extracellular matrix"
"44","SEMA3B","ENSG00000012171","Semaphorin 3B","Q13214","Secreted in other tissues"
"45","LTF","ENSG00000012223","Lactotransferrin","P02788","Secreted to blood"
"46","MAN2B2","ENSG00000013288","Mannosidase alpha class 2B member 2","Q9Y2E5","Secreted to blood"
"47","ANGEL1","ENSG00000013523","Angel homolog 1","Q9UNK9","Intracellular and membrane"
"48","DNASE1L1","ENSG00000013563","Deoxyribonuclease 1 like 1","P49184","Intracellular and membrane"
"49","CD6","ENSG00000013725","CD6 molecule","P30203","Secreted to blood"
"50","ACP3","ENSG00000014257","Acid phosphatase 3","P15309","Secreted to blood"
"51","DPEP1","ENSG00000015413","Dipeptidase 1","P16444","Intracellular and membrane"
"52","MATR3","ENSG00000015479","Matrin 3","P43243","Intracellular and membrane"
"53","XYLT2","ENSG00000015532","Xylosyltransferase 2","Q9H1B5","Secreted to blood"
"54","CLCA1","ENSG00000016490","Chloride channel accessory 1","A8K7I4","Secreted to digestive system"
"55","CLCA4","ENSG00000016602","Chloride channel accessory 4","Q14CN2","Intracellular and membrane"
"56","IGF1","ENSG00000017427","Insulin like growth factor 1","P05019","Secreted to blood"
"57","CNTN1","ENSG00000018236","Contactin 1","Q12860","Intracellular and membrane"
"58","AGPS","ENSG00000018510","Alkylglycerone phosphate synthase","O00116","Intracellular and membrane"
"59","HGF","ENSG00000019991","Hepatocyte growth factor","P14210","Secreted to blood"
"60","SERPINB1","ENSG00000021355","Serpin family B member 1","P30740","Secreted to blood"
"61","C8B","ENSG00000021852","Complement C8 beta chain","P07358","Secreted to blood"
"62","ERP44","ENSG00000023318","Endoplasmic reticulum protein 44","Q9BS26","Intracellular and membrane"
"63","FAS","ENSG00000026103","Fas cell surface death receptor","P25445","Secreted to blood"
"64","RNASET2","ENSG00000026297","Ribonuclease T2","O00584","Secreted to blood"
"65","CD44","ENSG00000026508","CD44 molecule (Indian blood group)","P16070","Secreted to blood"
"66","TNFRSF1B","ENSG00000028137","TNF receptor superfamily member 1B","P20333","Secreted to blood"
"67","ANK1","ENSG00000029534","Ankyrin 1","P16157","Intracellular and membrane"
"68","IBSP","ENSG00000029559","Integrin binding sialoprotein","P21815","Secreted in other tissues"
"69","GRN","ENSG00000030582","Granulin precursor","P28799","Secreted to blood"
"70","ALG1","ENSG00000033011","ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase","Q9BT22","Intracellular and membrane"
"71","CHPF2","ENSG00000033100","Chondroitin polymerizing factor 2","Q9P2E5","Intracellular and membrane"
"72","MYOC","ENSG00000034971","Myocilin","Q99972","Secreted to extracellular matrix"
"73","TIMP2","ENSG00000035862","TIMP metallopeptidase inhibitor 2","P16035","Secreted to extracellular matrix"
"74","CYP46A1","ENSG00000036530","Cytochrome P450 family 46 subfamily A member 1","Q9Y6A2","Intracellular and membrane"
"75","FLT4","ENSG00000037280","Fms related receptor tyrosine kinase 4","P35916","Secreted to blood"
"76","NSUN2","ENSG00000037474","NOP2/Sun RNA methyltransferase 2","Q08J23","Intracellular and membrane"
"77","AGA","ENSG00000038002","Aspartylglucosaminidase","P20933","Intracellular and membrane"
"78","TLL1","ENSG00000038295","Tolloid like 1","O43897","Secreted to extracellular matrix"
"79","VCAN","ENSG00000038427","Versican","P13611","Secreted to blood"
"80","C6","ENSG00000039537","Complement C6","P13671","Secreted to blood"
"81","TNC","ENSG00000041982","Tenascin C","P24821","Secreted to extracellular matrix"
"82","USH2A","ENSG00000042781","Usherin","O75445","Intracellular and membrane"
"83","ZPBP","ENSG00000042813","Zona pellucida binding protein","Q9BS86","Secreted in male reproductive system"
"84","TG","ENSG00000042832","Thyroglobulin","P01266","Secreted in other tissues"
"85","ADAM28","ENSG00000042980","ADAM metallopeptidase domain 28","Q9UKQ2","Secreted to blood"
"86","GUCA2B","ENSG00000044012","Guanylate cyclase activator 2B","Q16661","Secreted to blood"
"87","EPHA3","ENSG00000044524","EPH receptor A3","P29320","Intracellular and membrane"
"88","HSPA5","ENSG00000044574","Heat shock protein family A (Hsp70) member 5","P11021","Intracellular and membrane"
"89","CP","ENSG00000047457","Ceruloplasmin","P00450","Secreted to blood"
"90","ARHGAP6","ENSG00000047648","Rho GTPase activating protein 6","O43182","Intracellular and membrane"
"91","RSF1","ENSG00000048649","Remodeling and spacing factor 1","Q96T23","Intracellular and membrane"
"92","COL9A2","ENSG00000049089","Collagen type IX alpha 2 chain","Q14055","Secreted to extracellular matrix"
"93","KITLG","ENSG00000049130","KIT ligand","P21583","Intracellular and membrane"
"94","ADAMTS6","ENSG00000049192","ADAM metallopeptidase with thrombospondin type 1 motif 6","Q9UKP5","Secreted to extracellular matrix"
"95","H6PD","ENSG00000049239","Hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase","O95479","Intracellular and membrane"
"96","UTS2","ENSG00000049247","Urotensin 2","O95399","Secreted to blood"
"97","LTBP1","ENSG00000049323","Latent transforming growth factor beta binding protein 1","Q14766","Secreted to extracellular matrix"
"98","RCN1","ENSG00000049449","Reticulocalbin 1","Q15293","Intracellular and membrane"
"99","ELN","ENSG00000049540","Elastin","P15502","Secreted to extracellular matrix"
"100","HEXB","ENSG00000049860","Hexosaminidase subunit beta","P07686","Intracellular and membrane"
"101","DKK 3.00","ENSG00000050165","Dickkopf WNT signaling pathway inhibitor 3","Q9UBP4","Secreted in other tissues"
"102","NFE2L3","ENSG00000050344","NFE2 like bZIP transcription factor 3","Q9Y4A8","Intracellular and membrane"
"103","LAMC3","ENSG00000050555","Laminin subunit gamma 3","Q9Y6N6","Secreted to extracellular matrix"
"104","PRSS8","ENSG00000052344","Serine protease 8","Q16651","Secreted - unknown location"
"105","FSTL4","ENSG00000053108","Follistatin like 4","Q6MZW2","Secreted to blood"
"106","METTL24","ENSG00000053328","Methyltransferase like 24","Q5JXM2","Secreted - unknown location"
"107","LAMA3","ENSG00000053747","Laminin subunit alpha 3","Q16787","Secreted to extracellular matrix"
"108","CBLN4","ENSG00000054803","Cerebellin 4 precursor","Q9NTU7","Secreted in brain"
